	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	subgraph	harmonic
186	187	39	3.0	0.001885585217112579	0.008335431370304201	0.00790851968159717	-0.020742503016984014	0.5	0.05137042421014149	0.0019682783344521417	0.43724696356275305	1.469071894062474e+37	192.00000000000037
187	188	98	3.0	0.002412516431621844	0.40748422103942494	0.07488944811973651	-0.010815882227733185	0.5682539682539682	0.07300682358171734	0.0023639499943426795	0.5619608668209551	1.3174342743042198e+39	226.0000000000001
188	189	117	3.0	0.003370769540462265	0.5189667323171998	0.08829508159610831	0.012951552543266628	0.5821138211382114	0.0763810700201454	0.003229981653570464	0.535956380783967	1.8312526602865682e+39	234.83333333333348
189	190	7	4.0	0.00015144390755718326	0.00021843279526728615	0.0010585277459719655	-0.07754312597878982	0.40497737556561086	0.015796817587743813	0.00022271582519404603	0.42857142857142855	2.6319475393483652e+35	153.50000000000026
190	191	45	3.0	0.002914179121316519	0.01290210120807048	0.009954192475275469	0.026933019955399044	0.5056497175141242	0.05504642284638088	0.0029656573943396777	0.38282828282828285	2.327202847715391e+37	195.33333333333368
191	192	45	3.0	0.0024560763190124494	0.049137245402059694	0.022258331478001447	0.005537784740894298	0.521865889212828	0.05537055424230136	0.0024570976928038613	0.3747474747474748	1.1637260547939175e+38	199.00000000000014
192	193	34	4.0	0.0026407813559372064	0.002541232432039848	0.0029765423027554735	0.06463698841251007	0.46736292428198434	0.047355817204595065	0.002824415206394956	0.34759358288770054	2.0810432475563772e+36	182.0833333333341
193	194	21	3.0	0.0007721624227818587	0.0027482619349934174	0.003971300102205267	0.05300806967502331	0.4601542416452442	0.03597156582994872	0.0009095062520491674	0.42857142857142855	3.704518986732904e+36	175.66666666666745
194	195	48	3.0	0.003710038191327439	0.013303624263915697	0.009808308942750102	-0.05575717726591262	0.5114285714285715	0.05662935461002273	0.0037617902277346663	0.33865248226950356	2.2597733691359985e+37	197.66666666666697
195	196	25	3.0	0.0013624036612628113	0.00301661277264214	0.0042079527997831425	-0.11756969193896123	0.48575305291723203	0.0402431496823326	0.0015600041284711198	0.36666666666666664	4.158906658669907e+36	183.83333333333377
